repl,seqtype,line,target_id,est_counts,eff_length,length,tpm,subgroup,mix1.conc.attomols.ul,mix2.conc.attomols.ul,expected.fc.ratio,log2(mix1.over.mix2),dilution,amount.added,molecules_of_seq
rep2,ribo,Ara-1,ERC_00104,60,1998,2022,4.129098571831157,B,0.22888184,0.22888184,1,0,10,0.498,6864.226389840811
rep2,ribo,Ara-1,ERC_00108,146,998,1022,20.11508159972817,A,937.5,234.375,4,2,10,0.498,28115870.793750007
rep2,ribo,Ara-1,ERC_00109,0,512,536,0,B,0.91552734,0.91552734,1,0,10,0.498,27456.904959558007
rep2,ribo,Ara-1,ERC_00111,21,970,994,2.9767820941046677,C,468.75,703.125,0.67,-0.58,10,0.498,14057935.396875003
rep2,ribo,Ara-1,ERC_00112,13,1112,1136,1.6074521328648448,D,117.1875,234.375,0.5,-1,10,0.498,3514483.849218751
rep2,ribo,Ara-1,ERC_00113,177,816,840,29.82514692675247,C,3750,5625,0.67,-0.58,10,0.498,112463483.17500003
rep2,ribo,Ara-1,ERC_00116,68,1967,1991,4.7533964443591605,A,468.75,117.1875,4,2,10,0.498,14057935.396875003
rep2,ribo,Ara-1,ERC_00117,0,1112,1136,0,B,0.05722046,0.05722046,1,0,10,0.498,1716.0565974602027
rep2,ribo,Ara-1,ERC_00120,0,512,536,0,C,0.91552734,1.37329102,0.67,-0.58,10,0.498,27456.904959558007
rep2,ribo,Ara-1,ERC_00123,0,998,1022,0,A,0.22888184,0.05722046,4,2,10,0.498,6864.226389840811
rep2,ribo,Ara-1,ERC_00126,0,1094,1118,0,B,14.6484375,14.6484375,1,0,10,0.498,439310.48115234385
rep2,ribo,Ara-1,ERC_00130,1873,1035,1059,248.82666097953998,A,30000,7500,4,2,10,0.498,899707865.4000002
rep2,ribo,Ara-1,ERC_00131,2,747,771,0.3681364991753079,A,117.1875,29.296875,4,2,10,0.498,3514483.849218751
rep2,ribo,Ara-1,ERC_00134,0,250,274,0,A,1.83105469,0.45776367,4,2,10,0.498,54913.810219018626
rep2,ribo,Ara-1,ERC_00136,104,1009,1033,14.17234308618995,A,1875,468.75,4,2,10,0.498,56231741.58750001
rep2,ribo,Ara-1,ERC_00137,0,513,537,0,D,0.91552734,1.83105469,0.5,-1,10,0.498,27456.904959558007
rep2,ribo,Ara-1,ERC_00138,0,1000,1024,0,B,0.11444092,0.11444092,1,0,10,0.498,3432.1131949204055
rep2,ribo,Ara-1,ERC_00142,0,469,493,0,B,0.22888184,0.22888184,1,0,10,0.498,6864.226389840811
rep2,ribo,Ara-1,ERC_00143,0,760,784,0,C,3.66210938,5.49316406,0.67,-0.58,10,0.498,109827.62043803725
rep2,ribo,Ara-1,ERC_00144,3,514,538,0.8025232438247714,A,29.296875,7.32421875,4,2,10,0.498,878620.9623046877
rep2,ribo,Ara-1,ERC_00145,35,1018,1042,4.727371694959934,C,937.5,1406.25,0.67,-0.58,10,0.498,28115870.793750007
rep2,ribo,Ara-1,ERC_00147,0,999,1023,0,A,0.91552734,0.22888184,4,2,10,0.498,27456.904959558007
rep2,ribo,Ara-1,ERC_00148,0,470,494,0,B,14.6484375,14.6484375,1,0,10,0.498,439310.48115234385
rep2,ribo,Ara-1,ERC_00150,0,719,743,0,B,3.66210938,3.66210938,1,0,10,0.498,109827.62043803725
rep2,ribo,Ara-1,ERC_00154,0,513,537,0,A,7.32421875,1.83105469,4,2,10,0.498,219655.24057617193
rep2,ribo,Ara-1,ERC_00156,0,470,494,0,A,0.45776367,0.11444092,4,2,10,0.498,13728.452479779004
rep2,ribo,Ara-1,ERC_00157,2,995,1019,0.27637986420497995,C,7.32421875,10.9863281,0.67,-0.58,10,0.498,219655.24057617193
rep2,ribo,Ara-1,ERC_00158,0,1003,1027,0,B,0.45776367,0.45776367,1,0,10,0.498,13728.452479779004
rep2,ribo,Ara-1,ERC_00160,0,719,743,0,D,7.32421875,14.6484375,0.5,-1,10,0.498,219655.24057617193
rep2,ribo,Ara-1,ERC_00162,2,499,523,0.5510981260199498,C,58.59375,87.890625,0.67,-0.58,10,0.498,1757241.9246093754
rep2,ribo,Ara-1,ERC_00163,0,519,543,0,D,14.6484375,29.296875,0.5,-1,10,0.498,439310.48115234385
rep2,ribo,Ara-1,ERC_00164,0,998,1022,0,C,0.45776367,0.68664551,0.67,-0.58,10,0.498,13728.452479779004
